CODPRED;NOMBRE_TF;NOMBRE_PREDIO;NOMBRE_TF_AUXILIAR;NOMBRE_PREDIO_AUXILIAR;RESOLUCION_TF;FECHA_RES_TF;TIPO_DE_RES;SUPERFICIE_PREDIO;SUP_DISP;SUP_NODISP;TIPO_TF;CLASIFICACION;CALIFICACION;DEPARTAMENTO;PROVINCIA;MUNICIPIO;MODALIDAD;NRO FOLIO REAL;CLASE_RES;DETALLE_RECTIFI;NOTA REMISION_UADM;FECHA_REM;HR_REMISION;FECHA_HR;GESTION_REPORTE;OBS_REPORTE;NOTA_CATASTRO_CC;CERTIF_TAN;FECHA_REVI;REGISTRO DDRR;NOTA EXTERNA ENVIO DDRR;HR DDRR;NOTA REMITIDA VIA SANEAMIENTO CATASTRO;OBS_PROCONT;OBS_COMPENSACION;OBSERVACION 1;0;COD_INV;EXPEDIENTE;NUMERO_ARCHIVADOR;CUERPOS;GAVETERO;CAJA;OBS_INVENTARIO;RESPONSABLE;DIRECTOR;REPORTE TF;PROCESO_CONTENCIOSO;ESTADO;ESTADO GLOBAL
122052;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0500/2008;30/6/2008;ADMINISTRATIVA;13.2409;13.2409;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;;;;;2008;;;FALSO;;DN HRI Nro 15495/2018 y DGAT-CI-  Nº  417/2018 y 20 de Junio de 2018;DN-C-EXT. N°. 444/2018 24 de julio de 2018 Validado;;;;;SIN VALIDARHR CATASTRO>DDRR:15495/2018INF CAT:DGAT UCR INF Nº 1807/2018 (25/07/2018)SEG. HR:SOL.PRESI:  SOBRE.POSI.AREA.PROT:   SOBRE.POSI.AREA.PROT:  INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;0;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;REVISAR REPORTE;;REPORTADO - AREA URBANA;TIERRA FISCAL VIGENTE
122126;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0502/2008;30/6/2008;ADMINISTRATIVA;56.2363;56.2363;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS No3427/2009;15/12/2009;;;2009;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122127;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0501/2008;30/6/2008;ADMINISTRATIVA;8.6163;8.6163;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;;;;;2008;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;0;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;REVISAR REPORTE;;REPORTADO;TIERRA FISCAL VIGENTE
122128;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0635/2008;19/8/2008;ADMINISTRATIVA;9.7025;9.7025;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS-JRA No1694/2008;5/12/2008;;;2008;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122130;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0616/2008;12/8/2008;ADMINISTRATIVA;644.14;644.14;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS-JRA No1694/2008;5/12/2008;;;2008;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122131;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0638/2008;19/8/2008;ADMINISTRATIVA;357.3491;357.3491;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS-JRA No1694/2008;5/12/2008;;;2008;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122132;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No267/2008;30/4/2008;ADMINISTRATIVA;12.1082;12.1082;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;;;;;2008;;;FALSO;16/1/2015;NOTA DGAT 852/2018 - HR 25297/2018 - 27/09/2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;0;;;43;;;;;NIEVEZ MORALES;JUAN CARLOS ROJAS CALIZAYA;REVISAR NOTA DE REMISION;;REPORTADO;TIERRA FISCAL VIGENTE
122133;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;POR DEFINIR;RA-SS N°262/2008;30/4/2008;ADMINISTRATIVA;50.9984;;;SIN DEFINIR;SIN DEFINIR;SIN DEFINIR;LA PAZ;;;SIN DEFINIR;2.20.1.05.0001335;;;DGCR -CI No 725/2026;15/7/2026;DN HRI No 9715/2026;15/7/2026;2026;;;FALSO;21/7/2026;;;;;;;;;;;;;;;;NIEVEZ MORALES;JUAN CARLOS ROJAS;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122134;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0636/2008;31/7/2008;ADMINISTRATIVA;9.597;9.597;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS-JRA No1694/2008;5/12/2008;;;2008;;;FALSO;;DGAT 863/2018 1 de octubre de 2018;;;;;;  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO;TIERRA FISCAL VIGENTE
122136;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;TIERRA FISCAL;RA-CS No0639/2008;19/8/2008;ADMINISTRATIVA;614.2019;614.2019;;IDENTIFICADA;TIERRA FISCAL;TIERRA FISCAL;LA PAZ;;;CAT-SAN;;;;DGS-JRA No1694/2008;5/12/2008;;;2008;;;FALSO;;DN HRI Nro 15495/2018 y DGAT-CI-  Nº  417/2018 y 20 de Junio de 2018;DN-C-EXT. N°. 444/2018 24 de julio de 2018 Validado;;;;;SIN VALIDARHR CATASTRO>DDRR:15495/2018INF CAT:DGAT UCR INF Nº 1807/2018 (25/07/2018)SEG. HR:SEG. HR:SEG. HR:SEG. HR: INF_INSP:  AP:  CONTENCIOSO:  OBS_DDRR:NOTA REMITIDA POR DISTRIBUCION A CATASTRO;;;;;;;;SE REALIZO LA INSPECCION  INF DGAT-UATF-AAHH INF No.700/2023 arrimado en carpeta de palanca;MARIBEL TELLEZ;JUAN CARLOS ROJAS CALIZAYA;SI;;REPORTADO - AREA URBANA;TIERRA FISCAL VIGENTE
